file_index,tile_id,unique_number,Memo,Scale,Significant,Marginal,Subtraction,Error
528,T00434,5824,nan,zscale,0,0,0,0
529,T00434,5827,nan,zscale,0,0,0,0
530,T00434,5838,nan,zscale,0,0,0,0
531,T00434,5840,nan,zscale,0,0,0,0
532,T00434,5860,nan,zscale,0,0,0,0
533,T00434,5862,nan,zscale,0,0,0,0
534,T00434,5866,nan,zscale,0,0,0,0
535,T00434,5873,nan,zscale,0,0,0,0
536,T00434,5876,nan,zscale,0,0,0,0
537,T00434,5901,nan,zscale,0,0,0,0
538,T00434,5934,nan,zscale,0,0,0,0
539,T00434,5941,nan,zscale,0,0,0,0
540,T00434,5947,nan,zscale,0,0,0,0
541,T00434,5952,nan,zscale,0,0,0,0
542,T00434,5967,nan,zscale,0,0,0,0
543,T00434,5990,nan,zscale,0,0,0,0
544,T00434,6001,nan,zscale,0,0,0,0
545,T00434,6002,nan,zscale,0,0,0,0
546,T00434,6006,nan,zscale,0,0,0,0
547,T00434,6015,nan,zscale,0,0,0,0
548,T00434,6017,nan,zscale,0,0,0,0
549,T00434,6018,nan,zscale,0,0,0,0
550,T00434,6034,nan,zscale,0,0,0,0
551,T00434,6036,nan,zscale,0,0,0,0
552,T00434,6040,nan,zscale,0,0,0,0
553,T00434,6049,nan,zscale,0,0,0,0
554,T00434,6053,nan,zscale,0,0,0,0
555,T00434,6061,nan,zscale,0,0,0,0
556,T00434,6079,nan,zscale,0,0,0,0
557,T00434,6094,nan,zscale,0,0,0,0
558,T00434,6098,nan,zscale,0,0,0,0
559,T00434,6118,nan,zscale,0,0,0,0
560,T00434,6127,nan,zscale,0,0,0,0
561,T00434,6128,nan,zscale,0,0,0,0
562,T00434,6139,nan,zscale,0,0,0,0
563,T00434,6145,nan,zscale,0,0,0,0
564,T00434,6152,nan,zscale,0,0,0,0
565,T00434,6171,nan,zscale,0,0,0,0
566,T00434,6173,nan,zscale,0,0,0,0
567,T00434,6179,nan,zscale,0,0,0,0
568,T00434,6180,nan,zscale,0,0,0,0
569,T00434,6200,nan,zscale,0,0,0,0
570,T00434,6210,nan,zscale,0,0,0,0
571,T00434,6217,nan,zscale,0,0,0,0
572,T00434,6225,nan,zscale,0,0,0,0
573,T00434,6226,nan,zscale,0,0,0,0
